"Source:","/home/mky/Downloads/asdfgg/asdfgg.kicad_sch"
"Date:","2022年08月03日 星期三 18时23分56秒"
"Tool:","Eeschema (6.0.7)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","32"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number"
"","","C1","1.5nF","Device:C","AD8232:0805电容","~","","","",""
"","","C2","1nF","Device:C","AD8232:0805电容","~","","","",""
"","","C3","10nF","Device:C","AD8232:0805电容","~","","","",""
"","","C4","0.33uF","Device:C","AD8232:0805电容","~","","","",""
"","","C5","0.1uF","Device:C","AD8232:0805电容","~","","","",""
"","","C6","0.33uF","Device:C","AD8232:0805电容","~","","","",""
"","","C7","0.1uF","Device:C","AD8232:0805电容","~","","","",""
"","","D1","LED","Device:LED","LED_SMD:LED_0603_1608Metric","~","","","",""
"","","D2","1N4148WT","Diode:1N4148WT","Diode_SMD:D_SOD-523","https://www.diodes.com/assets/Datasheets/ds30396.pdf","","","",""
"","","JP1","M03PTH","AD8232:M03PTH","AD8232:1X03","","","","",""
"","","JP2","6130xx11121-6Pin","AD8232:6130xx11121-6Pin","AD8232:HDRV6W64P0X254_1X6_1524X254X869P","https://www.we-online.com/katalog/datasheet/6130xx11121.pdf","2.54MM PIN HEADER","8.69","Wurth Elektronik","6130xx11121-6Pin"
"","","R1","10M","Device:R","AD8232:0603电阻","~","","","",""
"","","R2","10M","Device:R","AD8232:0603电阻","~","","","",""
"","","R3","180K","Device:R","AD8232:0603电阻","~","","","",""
"","","R4","180K","Device:R","AD8232:0603电阻","~","","","",""
"","","R5","360K","Device:R","AD8232:0603电阻","~","","","",""
"","","R6","1M","Device:R","AD8232:0603电阻","~","","","",""
"","","R7","1M","Device:R","AD8232:0603电阻","~","","","",""
"","","R8","100K","Device:R","AD8232:0603电阻","~","","","",""
"","","R9","1M","Device:R","AD8232:0603电阻","~","","","",""
"","","R10","10M","Device:R","AD8232:0603电阻","~","","","",""
"","","R11","10M","Device:R","AD8232:0603电阻","~","","","",""
"","","R12","1.4M","Device:R","AD8232:0603电阻","~","","","",""
"","","R13","10M","Device:R","AD8232:0603电阻","~","","","",""
"","","R14","10M","Device:R","AD8232:0603电阻","~","","","",""
"","","R15","10K","Device:R","AD8232:0603电阻","~","","","",""
"","","R16","1K","Device:R","AD8232:0603电阻","~","","","",""
"","","R17","0","Device:R","AD8232:0603电阻","~","","","",""
"","","R18","DNP","Device:R","AD8232:0603电阻","~","","","",""
"","","R19","0","Device:R","AD8232:0603电阻","~","","","",""
"","","R20","DNP","Device:R","AD8232:0603电阻","~","","","",""
"","","U1","AD8232","AD8232:AD8232","AD8232:QFN50P400X400X80-21N-D","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number"
"1","1","C1","1.5nF","Device:C","AD8232:0805电容","~","","","",""
"2","1","C2","1nF","Device:C","AD8232:0805电容","~","","","",""
"3","1","C3","10nF","Device:C","AD8232:0805电容","~","","","",""
"4","2","C4, C6","0.33uF","Device:C","AD8232:0805电容","~","","","",""
"5","2","C5, C7","0.1uF","Device:C","AD8232:0805电容","~","","","",""
"6","1","D1","LED","Device:LED","LED_SMD:LED_0603_1608Metric","~","","","",""
"7","1","D2","1N4148WT","Diode:1N4148WT","Diode_SMD:D_SOD-523","https://www.diodes.com/assets/Datasheets/ds30396.pdf","","","",""
"8","1","JP1","M03PTH","AD8232:M03PTH","AD8232:1X03","","","","",""
"9","1","JP2","6130xx11121-6Pin","AD8232:6130xx11121-6Pin","AD8232:HDRV6W64P0X254_1X6_1524X254X869P","https://www.we-online.com/katalog/datasheet/6130xx11121.pdf","2.54MM PIN HEADER","8.69","Wurth Elektronik","6130xx11121-6Pin"
"10","6","R1, R2, R10, R11, R13, R14","10M","Device:R","AD8232:0603电阻","~","","","",""
"11","2","R3, R4","180K","Device:R","AD8232:0603电阻","~","","","",""
"12","1","R5","360K","Device:R","AD8232:0603电阻","~","","","",""
"13","3","R6, R7, R9","1M","Device:R","AD8232:0603电阻","~","","","",""
"14","1","R8","100K","Device:R","AD8232:0603电阻","~","","","",""
"15","1","R12","1.4M","Device:R","AD8232:0603电阻","~","","","",""
"16","1","R15","10K","Device:R","AD8232:0603电阻","~","","","",""
"17","1","R16","1K","Device:R","AD8232:0603电阻","~","","","",""
"18","2","R17, R19","0","Device:R","AD8232:0603电阻","~","","","",""
"19","2","R18, R20","DNP","Device:R","AD8232:0603电阻","~","","","",""
"20","1","U1","AD8232","AD8232:AD8232","AD8232:QFN50P400X400X80-21N-D","","","","",""
